2024-04-08 18:06:49,605 INFO    StreamThr :4316 [internal.py:wandb_internal():86] W&B internal server running at pid: 4316, started at: 2024-04-08 18:06:49.605020
2024-04-08 18:06:49,606 DEBUG   HandlerThread:4316 [handler.py:handle_request():146] handle_request: status
2024-04-08 18:06:49,608 INFO    WriterThread:4316 [datastore.py:open_for_write():87] open: /Users/pratikkadlak/Documents/Convolution_Neural_Network_a2/PartA/wandb/run-20240408_180649-0uoch1zu/run-0uoch1zu.wandb
2024-04-08 18:06:49,608 DEBUG   SenderThread:4316 [sender.py:send():378] send: header
2024-04-08 18:06:49,624 DEBUG   SenderThread:4316 [sender.py:send():378] send: run
2024-04-08 18:06:50,360 INFO    SenderThread:4316 [dir_watcher.py:__init__():211] watching files in: /Users/pratikkadlak/Documents/Convolution_Neural_Network_a2/PartA/wandb/run-20240408_180649-0uoch1zu/files
2024-04-08 18:06:50,360 INFO    SenderThread:4316 [sender.py:_start_run_threads():1099] run started: 0uoch1zu with start time 1712579809.605044
2024-04-08 18:06:50,374 DEBUG   HandlerThread:4316 [handler.py:handle_request():146] handle_request: check_version
2024-04-08 18:06:50,374 DEBUG   SenderThread:4316 [sender.py:send_request():405] send_request: check_version
2024-04-08 18:06:50,501 DEBUG   HandlerThread:4316 [handler.py:handle_request():146] handle_request: run_start
2024-04-08 18:06:50,508 DEBUG   HandlerThread:4316 [system_info.py:__init__():26] System info init
2024-04-08 18:06:50,508 DEBUG   HandlerThread:4316 [system_info.py:__init__():41] System info init done
2024-04-08 18:06:50,508 INFO    HandlerThread:4316 [system_monitor.py:start():194] Starting system monitor
2024-04-08 18:06:50,508 INFO    SystemMonitor:4316 [system_monitor.py:_start():158] Starting system asset monitoring threads
2024-04-08 18:06:50,508 INFO    HandlerThread:4316 [system_monitor.py:probe():214] Collecting system info
2024-04-08 18:06:50,509 DEBUG   HandlerThread:4316 [system_info.py:probe():150] Probing system
2024-04-08 18:06:50,509 INFO    SystemMonitor:4316 [interfaces.py:start():190] Started cpu monitoring
2024-04-08 18:06:50,509 INFO    SystemMonitor:4316 [interfaces.py:start():190] Started disk monitoring
2024-04-08 18:06:50,511 INFO    SystemMonitor:4316 [interfaces.py:start():190] Started gpuapple monitoring
2024-04-08 18:06:50,513 INFO    SystemMonitor:4316 [interfaces.py:start():190] Started memory monitoring
2024-04-08 18:06:50,515 INFO    SystemMonitor:4316 [interfaces.py:start():190] Started network monitoring
2024-04-08 18:06:50,518 DEBUG   HandlerThread:4316 [system_info.py:_probe_git():135] Probing git
2024-04-08 18:06:50,537 DEBUG   HandlerThread:4316 [system_info.py:_probe_git():143] Probing git done
